filename,year,doy,profile_idx,profile_num,date,index
RCA_sb_sp_temperature_2018_009_5092_2_V1.nc,2018,9,5092,2,2018-01-09,64
RCA_sb_sp_temperature_2018_009_5093_3_V1.nc,2018,9,5093,3,2018-01-09,65
RCA_sb_sp_temperature_2018_009_5094_4_V1.nc,2018,9,5094,4,2018-01-09,66
RCA_sb_sp_temperature_2018_009_5095_5_V1.nc,2018,9,5095,5,2018-01-09,67
RCA_sb_sp_temperature_2018_009_5096_6_V1.nc,2018,9,5096,6,2018-01-09,68
RCA_sb_sp_temperature_2018_009_5097_7_V1.nc,2018,9,5097,7,2018-01-09,69
RCA_sb_sp_temperature_2018_009_5098_8_V1.nc,2018,9,5098,8,2018-01-09,70
RCA_sb_sp_temperature_2018_009_5099_9_V1.nc,2018,9,5099,9,2018-01-09,71
RCA_sb_sp_temperature_2018_010_5100_1_V1.nc,2018,10,5100,1,2018-01-10,72
RCA_sb_sp_temperature_2018_010_5101_2_V1.nc,2018,10,5101,2,2018-01-10,73
RCA_sb_sp_temperature_2018_010_5102_3_V1.nc,2018,10,5102,3,2018-01-10,74
RCA_sb_sp_temperature_2018_010_5103_4_V1.nc,2018,10,5103,4,2018-01-10,75
RCA_sb_sp_temperature_2018_010_5104_5_V1.nc,2018,10,5104,5,2018-01-10,76
RCA_sb_sp_temperature_2018_010_5105_6_V1.nc,2018,10,5105,6,2018-01-10,77
RCA_sb_sp_temperature_2018_010_5106_7_V1.nc,2018,10,5106,7,2018-01-10,78
RCA_sb_sp_temperature_2018_010_5107_8_V1.nc,2018,10,5107,8,2018-01-10,79
RCA_sb_sp_temperature_2018_010_5108_9_V1.nc,2018,10,5108,9,2018-01-10,80
RCA_sb_sp_temperature_2018_011_5109_1_V1.nc,2018,11,5109,1,2018-01-11,81
RCA_sb_sp_temperature_2018_011_5110_2_V1.nc,2018,11,5110,2,2018-01-11,82
RCA_sb_sp_temperature_2018_011_5111_3_V1.nc,2018,11,5111,3,2018-01-11,83
RCA_sb_sp_temperature_2018_011_5112_4_V1.nc,2018,11,5112,4,2018-01-11,84
RCA_sb_sp_temperature_2018_011_5113_5_V1.nc,2018,11,5113,5,2018-01-11,85
RCA_sb_sp_temperature_2018_011_5114_6_V1.nc,2018,11,5114,6,2018-01-11,86
RCA_sb_sp_temperature_2018_011_5115_7_V1.nc,2018,11,5115,7,2018-01-11,87
RCA_sb_sp_temperature_2018_011_5116_8_V1.nc,2018,11,5116,8,2018-01-11,88
RCA_sb_sp_temperature_2018_011_5117_9_V1.nc,2018,11,5117,9,2018-01-11,89
RCA_sb_sp_temperature_2018_012_5118_1_V1.nc,2018,12,5118,1,2018-01-12,90
RCA_sb_sp_temperature_2018_012_5119_2_V1.nc,2018,12,5119,2,2018-01-12,91
RCA_sb_sp_temperature_2018_012_5120_3_V1.nc,2018,12,5120,3,2018-01-12,92
RCA_sb_sp_temperature_2018_012_5121_4_V1.nc,2018,12,5121,4,2018-01-12,93
RCA_sb_sp_temperature_2018_012_5122_5_V1.nc,2018,12,5122,5,2018-01-12,94
RCA_sb_sp_temperature_2018_012_5123_6_V1.nc,2018,12,5123,6,2018-01-12,95
RCA_sb_sp_temperature_2018_012_5124_7_V1.nc,2018,12,5124,7,2018-01-12,96
RCA_sb_sp_temperature_2018_012_5125_8_V1.nc,2018,12,5125,8,2018-01-12,97
RCA_sb_sp_temperature_2018_012_5126_9_V1.nc,2018,12,5126,9,2018-01-12,98
RCA_sb_sp_temperature_2018_013_5127_1_V1.nc,2018,13,5127,1,2018-01-13,99
RCA_sb_sp_temperature_2018_013_5128_2_V1.nc,2018,13,5128,2,2018-01-13,100
RCA_sb_sp_temperature_2018_013_5129_3_V1.nc,2018,13,5129,3,2018-01-13,101
RCA_sb_sp_temperature_2018_013_5130_4_V1.nc,2018,13,5130,4,2018-01-13,102
RCA_sb_sp_temperature_2018_013_5131_5_V1.nc,2018,13,5131,5,2018-01-13,103
RCA_sb_sp_temperature_2018_013_5132_6_V1.nc,2018,13,5132,6,2018-01-13,104
RCA_sb_sp_temperature_2018_013_5133_7_V1.nc,2018,13,5133,7,2018-01-13,105
RCA_sb_sp_temperature_2018_013_5134_8_V1.nc,2018,13,5134,8,2018-01-13,106
RCA_sb_sp_temperature_2018_013_5135_9_V1.nc,2018,13,5135,9,2018-01-13,107
RCA_sb_sp_temperature_2018_014_5136_1_V1.nc,2018,14,5136,1,2018-01-14,108
RCA_sb_sp_temperature_2018_014_5137_2_V1.nc,2018,14,5137,2,2018-01-14,109
RCA_sb_sp_temperature_2018_014_5138_3_V1.nc,2018,14,5138,3,2018-01-14,110
RCA_sb_sp_temperature_2018_014_5139_4_V1.nc,2018,14,5139,4,2018-01-14,111
RCA_sb_sp_temperature_2018_014_5140_5_V1.nc,2018,14,5140,5,2018-01-14,112
RCA_sb_sp_temperature_2018_014_5141_6_V1.nc,2018,14,5141,6,2018-01-14,113
RCA_sb_sp_temperature_2018_014_5142_7_V1.nc,2018,14,5142,7,2018-01-14,114
RCA_sb_sp_temperature_2018_014_5143_8_V1.nc,2018,14,5143,8,2018-01-14,115
RCA_sb_sp_temperature_2018_014_5144_9_V1.nc,2018,14,5144,9,2018-01-14,116
RCA_sb_sp_temperature_2018_015_5145_1_V1.nc,2018,15,5145,1,2018-01-15,117
RCA_sb_sp_temperature_2018_015_5146_2_V1.nc,2018,15,5146,2,2018-01-15,118
RCA_sb_sp_temperature_2018_015_5147_3_V1.nc,2018,15,5147,3,2018-01-15,119
RCA_sb_sp_temperature_2018_015_5148_4_V1.nc,2018,15,5148,4,2018-01-15,120
RCA_sb_sp_temperature_2018_015_5149_5_V1.nc,2018,15,5149,5,2018-01-15,121
