#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 03 02 50  84  3.0  4.4  2.71 17.39  9.28 265 1013.2  10.4  11.4 999.0 99.0 99.00
2016 01 03 03 50  61  5.2  6.5  2.71 17.39  9.72 262 1013.0   9.9  11.4 999.0 99.0 99.00
2016 01 03 04 50  74  5.6  6.8  2.31 16.00  8.67 270 1012.4   9.3  11.3 999.0 99.0 99.00
2016 01 03 05 50  60  4.9  6.2  2.44 16.00  9.42 244 1012.0   9.1  11.3 999.0 99.0 99.00
2016 01 03 06 50  71  4.1  5.3  2.42 16.00  9.41 268 1011.9   9.4  11.2 999.0 99.0 99.00
2016 01 03 07 50  91  3.6  4.7  2.33 16.00  9.45 262 1012.0   9.9  11.2 999.0 99.0 99.00
2016 01 03 08 50 123  3.8  5.2  2.41 14.81  9.22 257 1011.8  10.1  11.3 999.0 99.0 99.00
2016 01 03 09 50 130  4.3  5.4  2.60 14.81  9.15 253 1011.7  10.5  11.3 999.0 99.0 99.00
2016 01 03 10 50 146  6.7  7.9  2.33 13.79  8.19 249 1011.2  10.6  11.2 999.0 99.0 99.00
2016 01 03 11 50 117  6.0  8.3  2.39 13.79  7.78 237 1010.5  10.2  11.1 999.0 99.0 99.00
2016 01 03 12 50 116  5.1  6.6  2.42 16.00  8.25 251 1009.8  10.2  11.0 999.0 99.0 99.00
2016 01 03 13 50 122  3.0  4.1  2.35  8.33  7.75 203 1009.4  10.2  11.2 999.0 99.0 99.00
2016 01 03 14 50 131  3.1  4.4  2.45 14.81  8.27 278 1009.5  10.2  11.4 999.0 99.0 99.00
2016 01 03 15 50 119  4.6  5.7  2.74 14.81  9.08 270 1009.3  10.5  11.4 999.0 99.0 99.00
2016 01 03 16 50 134  5.6  6.9  2.58 14.81  8.71 269 1009.4  10.2  11.4 999.0 99.0 99.00
2016 01 03 17 50 114  5.4  6.5  2.43 14.81  8.16 285 1009.4   9.8  11.5 999.0 99.0 99.00
2016 01 03 18 50 116  5.6  7.2  2.15 14.81  7.79 264 1009.3  10.9  11.5 999.0 99.0 99.00
2016 01 03 19 50 142  5.5  7.0  2.47 16.00  8.34 250 1008.9  11.7  11.5 999.0 99.0 99.00
2016 01 03 20 50 174  7.1  8.7  2.95 14.81  8.76 263 1008.1  11.8  11.5 999.0 99.0 99.00
2016 01 03 21 50 161  5.8  7.1  2.75 14.81  8.15 275 1007.7  11.5  11.5 999.0 99.0 99.00
2016 01 03 22 50 163  9.4 12.0  2.64 14.81  7.65 264 1007.3  11.5  11.5 999.0 99.0 99.00
2016 01 03 23 50 178  8.3 10.5  2.91 14.81  7.49 268 1007.2  12.1  11.5 999.0 99.0 99.00
2016 01 04 00 50 180  9.4 11.5  3.23 12.12  7.83 229 1007.0  12.1  11.4 999.0 99.0 99.00
2016 01 04 01 50 190  7.2  8.6  3.33 10.81  8.10 215 1006.9  12.1  11.4 999.0 99.0 99.00
2016 01 04 02 50 184  9.6 11.6  3.30 10.81  8.01 218 1006.9  12.4  11.5 999.0 99.0 99.00
2016 01 04 03 50 189  7.8  9.6  3.35 10.81  7.85 222 1007.3  12.1  11.5 999.0 99.0 99.00
2016 01 04 04 50 194  4.9  6.2  3.24 10.81  7.84 222 1007.3  12.0  11.5 999.0 99.0 99.00
2016 01 04 05 50 180  8.2 10.2  3.31 13.79  8.25 283 1007.2  10.5  11.5 999.0 99.0 99.00
2016 01 04 06 50 176  6.6  8.2  2.90 10.81  7.42 219 1007.0  11.3  11.5 999.0 99.0 99.00
2016 01 04 07 50 170  4.6  6.0  2.95 13.79  8.04 282 1006.7  10.5  11.5 999.0 99.0 99.00
2016 01 04 08 50 154  4.1  4.9  2.56 12.90  7.83 270 1006.5  11.0  11.5 999.0 99.0 99.00
2016 01 04 09 50 124  3.3  4.2  2.61 12.90  8.56 270 1006.3  11.2  11.4 999.0 99.0 99.00
2016 01 04 10 50 127  2.4  3.2  2.49 13.79  8.50 255 1006.0  11.3  11.4 999.0 99.0 99.00
2016 01 04 11 50  90  2.8  3.7  2.48 12.90  8.71 262 1005.3  11.3  11.4 999.0 99.0 99.00
2016 01 04 12 50 111  2.1  2.9  2.44 12.90  8.98 253 1005.0  11.1  11.4 999.0 99.0 99.00
2016 01 04 13 50  72  3.7  4.9  2.51 12.90  8.84 255 1004.1  10.9  11.5 999.0 99.0 99.00
2016 01 04 14 50  63  4.7  5.8  2.61 13.79  9.12 238 1003.3  11.2  11.6 999.0 99.0 99.00
2016 01 04 15 50  67  4.8  6.1  2.40 11.43  8.77 226 1002.7  11.4  11.6 999.0 99.0 99.00
2016 01 04 16 50 134  4.5  6.4  2.53 12.90  9.00 248 1003.0  11.7  11.5 999.0 99.0 99.00
2016 01 04 17 50 187  7.4  8.8  2.71 12.90  8.68 266 1003.0  11.5  11.5 999.0 99.0 99.00
2016 01 04 18 50 176  8.1  9.2  2.83 13.79  8.74 268 1002.8  11.1  11.5 999.0 99.0 99.00
2016 01 04 19 50 160  6.7  8.4  2.50 14.81  8.16 276 1002.2  10.6  11.6 999.0 99.0 99.00
2016 01 04 20 50 161  6.4  7.4  2.47 13.79  7.86 274 1001.2  10.5  11.7 999.0 99.0 99.00
2016 01 04 21 50 173  9.0 10.9  2.82 13.79  8.28 270 1000.3  11.3  11.7 999.0 99.0 99.00
2016 01 04 22 50 152  7.0  8.5  2.75 13.79  7.51 271  999.4  11.3  11.7 999.0 99.0 99.00
2016 01 04 23 50 132  4.1  5.0  2.77 13.79  7.91 262  998.8  11.4  11.7 999.0 99.0 99.00
2016 01 05 00 50 118  4.0  5.5  2.63 13.79  7.97 272  997.7  11.9  11.6 999.0 99.0 99.00
