year,doy,profile_idx,profile_num,date,index
2016,20,836,6,2016-01-20,176
2016,20,837,7,2016-01-20,177
2016,20,838,8,2016-01-20,178
2016,20,839,9,2016-01-20,179
2016,21,840,1,2016-01-21,180
2016,21,841,2,2016-01-21,181
2016,21,842,3,2016-01-21,182
2016,21,843,4,2016-01-21,183
2016,21,844,5,2016-01-21,184
2016,21,845,6,2016-01-21,185
2016,21,846,7,2016-01-21,186
2016,21,847,8,2016-01-21,187
2016,21,848,9,2016-01-21,188
2016,22,849,1,2016-01-22,189
2016,22,850,2,2016-01-22,190
2016,22,851,3,2016-01-22,191
2016,22,852,4,2016-01-22,192
2016,22,853,5,2016-01-22,193
2016,22,854,6,2016-01-22,194
2016,22,855,7,2016-01-22,195
2016,22,856,8,2016-01-22,196
2016,22,857,9,2016-01-22,197
2016,23,858,1,2016-01-23,198
2016,23,859,2,2016-01-23,199
2016,23,860,3,2016-01-23,200
2016,23,861,4,2016-01-23,201
2016,23,862,5,2016-01-23,202
2016,23,863,6,2016-01-23,203
2016,23,864,7,2016-01-23,204
2016,23,865,8,2016-01-23,205
2016,23,866,9,2016-01-23,206
2016,24,867,1,2016-01-24,207
2016,24,868,2,2016-01-24,208
2016,24,869,3,2016-01-24,209
2016,24,870,4,2016-01-24,210
2016,24,871,5,2016-01-24,211
2016,24,872,6,2016-01-24,212
2016,24,873,7,2016-01-24,213
2016,24,874,8,2016-01-24,214
2016,24,875,9,2016-01-24,215
2016,25,876,1,2016-01-25,216
2016,25,877,2,2016-01-25,217
2016,25,878,3,2016-01-25,218
2016,25,879,4,2016-01-25,219
2016,25,880,5,2016-01-25,220
2016,25,881,6,2016-01-25,221
2016,25,882,7,2016-01-25,222
2016,25,883,8,2016-01-25,223
2016,25,884,9,2016-01-25,224
2016,26,885,1,2016-01-26,225
2016,26,886,2,2016-01-26,226
2016,26,887,3,2016-01-26,227
2016,26,888,4,2016-01-26,228
2016,26,889,5,2016-01-26,229
2016,26,890,6,2016-01-26,230
2016,26,891,7,2016-01-26,231
2016,26,892,8,2016-01-26,232
