year,doy,profile_idx,profile_num,date,index,cluster,month
2016,15,787,2,2016-01-15,127,0,1
2016,15,788,3,2016-01-15,128,0,1
2016,15,789,4,2016-01-15,129,0,1
2016,15,790,5,2016-01-15,130,0,1
2016,15,791,6,2016-01-15,131,0,1
2016,15,792,7,2016-01-15,132,0,1
2016,15,793,8,2016-01-15,133,0,1
2016,15,794,9,2016-01-15,134,0,1
2016,16,795,1,2016-01-16,135,0,1
2016,16,796,2,2016-01-16,136,0,1
2016,16,797,3,2016-01-16,137,0,1
2016,16,798,4,2016-01-16,138,0,1
2016,16,799,5,2016-01-16,139,0,1
2016,16,800,6,2016-01-16,140,0,1
2016,16,801,7,2016-01-16,141,0,1
2016,16,802,8,2016-01-16,142,0,1
2016,16,803,9,2016-01-16,143,0,1
2016,17,804,1,2016-01-17,144,0,1
2016,17,805,2,2016-01-17,145,0,1
2016,17,806,3,2016-01-17,146,0,1
2016,17,807,4,2016-01-17,147,0,1
2016,17,808,5,2016-01-17,148,0,1
2016,17,809,6,2016-01-17,149,0,1
2016,17,810,7,2016-01-17,150,0,1
2016,17,811,8,2016-01-17,151,0,1
2016,17,812,9,2016-01-17,152,0,1
2016,18,813,1,2016-01-18,153,0,1
2016,18,814,2,2016-01-18,154,0,1
2016,18,815,3,2016-01-18,155,0,1
2016,18,816,4,2016-01-18,156,0,1
2016,18,817,5,2016-01-18,157,0,1
2016,18,818,6,2016-01-18,158,0,1
2016,18,819,7,2016-01-18,159,0,1
2016,18,820,8,2016-01-18,160,0,1
2016,18,821,9,2016-01-18,161,0,1
2016,19,822,1,2016-01-19,162,0,1
2016,19,823,2,2016-01-19,163,0,1
2016,19,824,3,2016-01-19,164,0,1
2016,19,825,4,2016-01-19,165,0,1
2016,19,826,5,2016-01-19,166,0,1
2016,19,827,6,2016-01-19,167,0,1
2016,19,828,7,2016-01-19,168,0,1
2016,19,829,8,2016-01-19,169,0,1
2016,19,830,9,2016-01-19,170,0,1
2016,20,831,1,2016-01-20,171,0,1
2016,20,832,2,2016-01-20,172,0,1
2016,20,833,3,2016-01-20,173,0,1
2016,20,834,4,2016-01-20,174,0,1
2016,20,835,5,2016-01-20,175,0,1
2016,20,836,6,2016-01-20,176,0,1
2016,20,837,7,2016-01-20,177,0,1
2016,20,838,8,2016-01-20,178,0,1
2016,20,839,9,2016-01-20,179,0,1
2016,21,840,1,2016-01-21,180,0,1
2016,21,841,2,2016-01-21,181,0,1
2016,21,842,3,2016-01-21,182,0,1
2016,21,843,4,2016-01-21,183,0,1
2016,21,844,5,2016-01-21,184,0,1
2016,21,845,6,2016-01-21,185,0,1
2016,21,846,7,2016-01-21,186,0,1
2016,21,847,8,2016-01-21,187,0,1
2016,21,848,9,2016-01-21,188,0,1
2016,22,849,1,2016-01-22,189,0,1
2016,22,850,2,2016-01-22,190,0,1
2016,22,851,3,2016-01-22,191,0,1
2016,22,852,4,2016-01-22,192,0,1
2016,22,853,5,2016-01-22,193,0,1
2016,22,854,6,2016-01-22,194,0,1
2016,22,855,7,2016-01-22,195,0,1
2016,22,856,8,2016-01-22,196,0,1
2016,22,857,9,2016-01-22,197,0,1
2016,23,858,1,2016-01-23,198,0,1
2016,23,859,2,2016-01-23,199,0,1
2016,23,860,3,2016-01-23,200,0,1
2016,23,861,4,2016-01-23,201,0,1
2016,23,862,5,2016-01-23,202,0,1
2016,23,863,6,2016-01-23,203,0,1
2016,23,864,7,2016-01-23,204,0,1
