profile_index,Estimated_TMLD,temperature_at_TMLD
1,47.402597402597394,10.91296239289891
2,46.428571428571416,10.905098456208174
3,50.324675324675326,10.890110753474307
4,49.35064935064935,10.91896936328768
5,50.64935064935065,10.720902802977797
6,43.50649350649351,10.717869506513102
7,52.597402597402606,10.603637721336055
8,50.64935064935065,10.58635141698315
9,51.62337662337663,10.579908774083869
10,45.12987012987014,10.6731551842963
11,52.27272727272728,10.632648095476558
12,51.948051948051955,10.607303340044645
13,52.27272727272728,10.621121162268564
14,53.571428571428584,10.594984265862763
15,48.37662337662337,10.525143028744944
16,41.55844155844156,10.706550564616174
17,51.948051948051955,10.647238534871088
18,55.844155844155836,10.631054606713066
19,49.675324675324674,10.586453120616474
20,50.64935064935065,10.664714632482553
21,44.805194805194816,10.6705172239182
22,42.20779220779221,10.772878549077268
23,48.37662337662337,10.858853437997157
24,48.7012987012987,10.844764122466858
25,44.805194805194816,10.637879495699325
26,44.805194805194816,10.6359110549396
27,44.155844155844164,10.840047948652797
28,39.93506493506493,10.789868423562757
29,50.324675324675326,10.863648297004351
30,46.428571428571416,10.716767441729582
31,48.051948051948045,10.599883166220545
32,42.20779220779221,10.66893373311212
33,48.051948051948045,10.66671036783509
34,44.48051948051949,10.607223000270471
35,46.75324675324674,10.603903501427562
36,42.85714285714286,10.614051758671753
37,48.051948051948045,10.638199877558012
38,41.23376623376623,10.675922926706088
39,43.18181818181819,10.70014854579753
40,43.83116883116884,10.735160458804334
41,42.20779220779221,10.751966988460506
42,48.7012987012987,10.799594858980152
43,43.50649350649351,10.816049910229792
44,44.48051948051949,10.797938979873134
45,38.636363636363626,10.807636697741454
46,43.18181818181819,10.865584378080156
47,47.07792207792207,10.92740455896631
48,42.20779220779221,10.95877951302019
49,41.55844155844156,10.833181074751067
50,47.402597402597394,10.881088893451587
51,42.20779220779221,10.9203401781836
52,42.20779220779221,10.841358254948346
53,42.20779220779221,10.892686307829885
54,50.324675324675326,10.87405393348777
55,50.97402597402598,10.895029830409072
56,43.83116883116884,11.011481937601072
57,42.532467532467535,10.947906509088337
58,45.45454545454547,10.960378618557053
59,55.844155844155836,10.816382699267287
60,49.675324675324674,10.896970562457687
61,47.402597402597394,10.757037315849113
62,48.051948051948045,10.724138164094642
63,48.7012987012987,10.738568566991455
64,48.7012987012987,10.875625230752195
65,45.77922077922079,10.814328426548416
66,49.35064935064935,10.813059000272409
67,44.805194805194816,10.814137886257713
68,45.45454545454547,10.806202060464038
69,51.62337662337663,10.853197528602516
70,46.75324675324674,10.79819690168421
71,54.54545454545453,10.668305709368203
72,40.259740259740255,10.673134250327774
73,39.28571428571428,10.630448985728243
74,49.35064935064935,10.61166098699918
75,33.76623376623377,10.583739085778486
76,34.740259740259745,10.514261716232461
77,44.155844155844164,10.394610475294527
78,50.0,10.380854452096335
79,34.740259740259745,10.402292527735337
80,37.987012987013,10.389460327719627
81,43.18181818181819,10.373866955413726
82,40.90909090909091,10.382361350618348
83,32.467532467532465,10.548918004706843
84,40.259740259740255,10.391543297592296
85,42.85714285714286,10.561959264346402
86,53.89610389610391,10.629046822185265
87,43.50649350649351,10.624889989585048
88,44.805194805194816,10.58220801081566
89,31.818181818181813,10.597353741778702
90,36.03896103896105,10.535753133120139
91,42.532467532467535,10.540558703783661
92,45.12987012987014,10.52581792140775
93,39.28571428571428,10.506162157517455
94,37.66233766233768,10.545656344229165
95,38.96103896103895,10.467230625756462
96,54.220779220779235,10.424586822823539
97,46.10389610389612,10.478233478304993
98,40.58441558441558,10.55235816615921
99,39.93506493506493,10.558505708670136
100,45.45454545454547,10.549728299639467
101,40.90909090909091,10.547576668953726
102,48.37662337662337,10.512250756417304
103,42.20779220779221,10.490273292846236
104,42.20779220779221,10.45827441015133
105,55.194805194805184,10.405486664177005
106,60.3896103896104,10.288022655171376
107,42.532467532467535,10.15007151092069
108,50.64935064935065,10.170357100260434
109,41.55844155844156,10.267218257034944
110,52.597402597402606,10.237898063599875
111,38.96103896103895,10.265302916306862
112,53.571428571428584,10.29332288909656
113,47.07792207792207,10.303103570840955
114,45.45454545454547,10.31001802710658
115,60.3896103896104,10.242837240033685
116,45.77922077922079,10.30698070245861
117,53.24675324675326,10.30575252530125
118,48.051948051948045,10.33266807461867
119,43.83116883116884,10.187873195285693
120,48.051948051948045,10.190622023971176
121,56.16883116883116,10.13512896540198
122,60.71428571428572,10.168962145273722
123,58.44155844155844,10.172549595977644
124,56.16883116883116,10.176518292035654
125,47.402597402597394,10.165792387686418
126,53.24675324675326,10.168635225482195
127,57.14285714285714,10.154358437639043
128,53.24675324675326,10.208782018715825
129,54.54545454545453,10.217035227853442
130,53.89610389610391,10.111048788510296
131,58.116883116883116,10.066428827355322
132,53.89610389610391,10.10751519765316
133,53.24675324675326,10.123027352762776
134,54.54545454545453,10.10432830871423
135,48.7012987012987,10.184202464973486
136,55.51948051948051,10.2415333240718
137,50.324675324675326,10.262022614426959
138,59.740259740259745,10.27280459709062
139,54.54545454545453,10.18014049669222
140,53.89610389610391,10.209999383936943
141,60.71428571428572,10.215109777926271
142,59.09090909090909,10.203120099807151
143,63.96103896103895,10.227105639540135
144,54.54545454545453,10.272343240312635
145,48.37662337662337,10.285811914510417
146,50.64935064935065,10.185382726148744
147,57.14285714285714,10.269277514301915
148,57.14285714285714,10.210679278851046
149,55.844155844155836,10.158441633327561
150,53.571428571428584,10.136496862435557
151,53.24675324675326,10.108919591075313
152,57.79220779220779,10.127985348195796
153,52.27272727272728,10.132637875101809
154,58.44155844155844,10.094569962154278
155,59.41558441558442,10.12411695623935
156,64.93506493506493,10.075242281195717
157,59.740259740259745,9.93953619278328
